Cation_SMILES,Anion_SMILES,IL_SMILES,Pressure(bar),Temperature(K),LOG10(VISCOSITY)(mPa.s),Molar mass(g/mol)
[CH2+]1=CC=CN(C1)Cc1ccccc1,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,[CH2+]1=CC=CN(C1)Cc1ccccc1.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,298,2.2,452.398
[CH2+]1=CC=CN(C1)Cc1ccccc1,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,[CH2+]1=CC=CN(C1)Cc1ccccc1.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,303,2.02,452.398
[CH2+]1=CC=CN(C1)Cc1ccccc1,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,[CH2+]1=CC=CN(C1)Cc1ccccc1.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,313,1.76,452.398
[CH2+]1=CC=CN(C1)Cc1ccccc1,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,[CH2+]1=CC=CN(C1)Cc1ccccc1.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,323,1.56,452.398
[CH2+]1=CC=CN(C1)Cc1ccccc1,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,[CH2+]1=CC=CN(C1)Cc1ccccc1.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,333,1.4,452.398
[N+](CCC)(CCC)(C)CC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,[N+](CCC)(CCC)(C)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,293,2.19,424.429
[N+](CCCC(F)(F)F)(CC)(C)CC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,[N+](CCCC(F)(F)F)(CC)(C)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,293,2.89,478.399
[N+](CCCC(F)(F)F)(CC)(C)CC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,[N+](CCCC(F)(F)F)(CC)(C)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,323,2.08,478.399
[N+](CCCC(F)(F)F)(CC)(C)CC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,[N+](CCCC(F)(F)F)(CC)(C)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,273,3.68,478.399
[N+](CCCC(F)(F)F)(CC)(C)CC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,[N+](CCCC(F)(F)F)(CC)(C)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,278,3.46,478.399
[N+](CCCC(F)(F)F)(CC)(C)CC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,[N+](CCCC(F)(F)F)(CC)(C)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,283,3.26,478.399
[N+](CCCC(F)(F)F)(CC)(C)CC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,[N+](CCCC(F)(F)F)(CC)(C)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,293,2.89,478.399
[N+](CCCC(F)(F)F)(CC)(C)CC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,[N+](CCCC(F)(F)F)(CC)(C)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,303,2.56,478.399
[N+](CCCC(F)(F)F)(CC)(C)CC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,[N+](CCCC(F)(F)F)(CC)(C)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,313,2.3,478.399
[N+](CCCC(F)(F)F)(CC)(C)CC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,[N+](CCCC(F)(F)F)(CC)(C)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,323,2.08,478.399
[N+](CCCC(F)(F)F)(CC)(C)CC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,[N+](CCCC(F)(F)F)(CC)(C)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,333,1.34,478.399
[NH2+]1CCCC1,[N+](=O)([O-])[O-],[NH2+]1CCCC1.[N+](=O)([O-])[O-],1,283,1.77,134.135
[NH2+]1CCCC1,[N+](=O)([O-])[O-],[NH2+]1CCCC1.[N+](=O)([O-])[O-],1,293,1.61,134.135
[NH2+]1CCCC1,[N+](=O)([O-])[O-],[NH2+]1CCCC1.[N+](=O)([O-])[O-],1,303,1.46,134.135
[NH2+]1CCCC1,[N+](=O)([O-])[O-],[NH2+]1CCCC1.[N+](=O)([O-])[O-],1,313,1.32,134.135
[NH2+]1CCCC1,[N+](=O)([O-])[O-],[NH2+]1CCCC1.[N+](=O)([O-])[O-],1,323,1.22,134.135
[NH2+]1CCCC1,[N+](=O)([O-])[O-],[NH2+]1CCCC1.[N+](=O)([O-])[O-],1,333,1.12,134.135
[NH2+]1CCCC1,[N+](=O)([O-])[O-],[NH2+]1CCCC1.[N+](=O)([O-])[O-],1,343,1.05,134.135
[NH2+]1CCCC1,[N+](=O)([O-])[O-],[NH2+]1CCCC1.[N+](=O)([O-])[O-],1,353,0.97,134.135
[NH2+]1CCCC1,[O-]C(=O)C(C(C(F)(F)F)(F)F)(F)F,[NH2+]1CCCC1.[O-]C(=O)C(C(C(F)(F)F)(F)F)(F)F,1,298,2.16,285.159
[NH2+]1CCCC1,C(=O)[O-],[NH2+]1CCCC1.C(=O)[O-],1,298,1.19,117.148
[NH2+]1CCCC1,C(C)(=O)[O-],[NH2+]1CCCC1.C(C)(=O)[O-],1,298,1.56,131.175
[NH2+]1CCCC1,C(CCC)OP(=O)(OCCCC)[O-],[NH2+]1CCCC1.C(CCC)OP(=O)(OCCCC)[O-],1,298,2.02,281.333
[NH2+]1CCCC1,CCCCCC(=O)[O-],[NH2+]1CCCC1.CCCCCC(=O)[O-],1,308,1.44,187.283
[NH2+]1CCCC1,CCCCCCCC(=O)[O-],[NH2+]1CCCC1.CCCCCCCC(=O)[O-],1,293,1.86,215.337
[NH2+]1CCCC1,CCCCCCCC(=O)[O-],[NH2+]1CCCC1.CCCCCCCC(=O)[O-],1,298,1.8,215.337
[NH2+]1CCCC1,CCCCCCCC(=O)[O-],[NH2+]1CCCC1.CCCCCCCC(=O)[O-],1,303,1.7,215.337
[NH2+]1CCCC1,CCCCCCCC(=O)[O-],[NH2+]1CCCC1.CCCCCCCC(=O)[O-],1,308,1.63,215.337
[NH2+]1CCCC1,CCCCCCCC(=O)[O-],[NH2+]1CCCC1.CCCCCCCC(=O)[O-],1,313,1.55,215.337
[NH2+]1CCCC1,CCCCCCCCC(=O)[O-],[NH2+]1CCCC1.CCCCCCCCC(=O)[O-],1,298,1.87,229.364
[NH2+]1CCCC1,FC(C(=O)[O-])(F)F,[NH2+]1CCCC1.FC(C(=O)[O-])(F)F,1,298,1.32,185.145
[NH2+]1CCCC1,O=C1[N-]S(=O)(=O)C2=CC=CC=C12,[NH2+]1CCCC1.O=C1[N-]S(=O)(=O)C2=CC=CC=C12,1,298,2.7,254.311
[NH2+]1CCCC1,S(=O)(=O)(O)[O-],[NH2+]1CCCC1.S(=O)(=O)(O)[O-],1,298,2.28,169.202
[NH3+][C@H](C(=O)O)CC(C)C,[N+](=O)([O-])[O-],[NH3+][C@H](C(=O)O)CC(C)C.[N+](=O)([O-])[O-],1,353,3.19,194.187
[NH3+]CC(C)C,C(=O)[O-],[NH3+]CC(C)C.C(=O)[O-],1,298,2.35,119.164
BrC[C@@H](C[n+]1ccn(c1)C)Br,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,BrC[C@@H](C[n+]1ccn(c1)C)Br.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,333,1.98,563.134
BrC[C@@H](C[n+]1ccn(c1)C/C(=CBr)/Br)Br,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,BrC[C@@H](C[n+]1ccn(c1)C/C(=CBr)/Br)Br.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,333,2.49,746.964
BrC[C@@H](Cn1cc[n+](c1)[C@@H](CBr)Br)Br,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,BrC[C@@H](Cn1cc[n+](c1)[C@@H](CBr)Br)Br.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,333,3.1,734.953
BrC[C@@H](Cn1cc[n+](c1)C[C@@H](CBr)Br)Br,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,BrC[C@@H](Cn1cc[n+](c1)C[C@@H](CBr)Br)Br.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,333,3.03,748.98
BrC[C@H](C[n+]1cn(c(c1Br)Br)C)Br,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,BrC[C@H](C[n+]1cn(c(c1Br)Br)C)Br.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,333,2.99,720.926
BrC[C@H](Cn1cc[n+](c1)CC[C@@](C(Br)(F)F)(Br)F)Br,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,BrC[C@H](Cn1cc[n+](c1)CC[C@@](C(Br)(F)F)(Br)F)Br.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,333,3.04,816.977
C#CC[N+](N)(C)C,[O-][N+](=O)[N-]C#N,C#CC[N+](N)(C)C.[O-][N+](=O)[N-]C#N,1,298,2.43,185.187
C#CC[N+](N)(C)C,C(#N)[N-]C#N,C#CC[N+](N)(C)C.C(#N)[N-]C#N,1,298,2.36,165.2
C#CC[S+](C)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C#CC[S+](C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,283,2.24,381.341
C#CC[S+](C)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C#CC[S+](C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,288,2.16,381.341
C#CC[S+](C)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C#CC[S+](C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,293,2.09,381.341
C#CC[S+](C)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C#CC[S+](C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,298,2.01,381.341
C#CC[S+](C)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C#CC[S+](C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,303,1.94,381.341
C#CC[S+](C)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C#CC[S+](C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,308,1.88,381.341
C#CC[S+](C)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C#CC[S+](C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,313,1.81,381.341
C#CC[S+](C)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C#CC[S+](C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,323,1.68,381.341
C#CC[S+](C)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C#CC[S+](C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,333,1.58,381.341
C#CC[S+](C)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C#CC[S+](C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,343,1.48,381.341
C#CCn1cc[n+](c1)C,C(#N)[N-]C#N,C#CCn1cc[n+](c1)C.C(#N)[N-]C#N,1,298,2.04,187.206
C#CCn1cc[n+](c1)C,F[B-]([C@@H](CC#N)C)(F)F,C#CCn1cc[n+](c1)C.F[B-]([C@@H](CC#N)C)(F)F,1,293,2.24,257.068
C#CCn1cc[n+](c1)CC#C,F[B-]([C@@H](CC#N)C)(F)F,C#CCn1cc[n+](c1)CC#C.F[B-]([C@@H](CC#N)C)(F)F,1,293,3.25,281.09
C(#N)C[N+]1(CCCCC1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(#N)C[N+]1(CCCCC1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,292,2.68,419.369
C(#N)C[N+]1=C(C=CC(=C1)C)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(#N)C[N+]1=C(C=CC(=C1)C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,292,2.76,427.348
C(#N)C[N+]1=CC(=CC=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(#N)C[N+]1=CC(=CC=C1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,292,2.21,413.321
C(#N)CCC[N+]1(CCCCC1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(#N)CCC[N+]1(CCCCC1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,292,2.61,447.423
C(#N)CCC[N+]1=C(C=CC(=C1)C)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(#N)CCC[N+]1=C(C=CC(=C1)C)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,292,2.22,455.402
C(#N)CCC[N+]1=C(C=CC=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(#N)CCC[N+]1=C(C=CC=C1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,292,2.49,441.375
C(#N)CCC[N+]1=CC(=CC=C1)C(=O)OC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(#N)CCC[N+]1=CC(=CC=C1)C(=O)OC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,292,2.75,485.384
C(#N)CCC[N+]1=CC=C(C=C1)C,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(#N)CCC[N+]1=CC=C(C=C1)C.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,292,2.51,441.375
C(#N)CCC[N+]1=CC=C(C=C1)CC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(#N)CCC[N+]1=CC=C(C=C1)CC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,292,2.47,455.402
C(C)[N+](C)(C)CCO,C(C)OS(=O)(=O)[O-],C(C)[N+](C)(C)CCO.C(C)OS(=O)(=O)[O-],1,298,3.21,243.325
C(C)[N+](C)(C)CCO,C(CCC)S(=O)(=O)[O-],C(C)[N+](C)(C)CCO.C(CCC)S(=O)(=O)[O-],1,298,3.13,255.38
C(C)[N+](CC)(CC)CCCCCCCC,C(#N)[N-]C#N,C(C)[N+](CC)(CC)CCCCCCCC.C(#N)[N-]C#N,1,298,2.38,280.46
C(C)[N+](CC)(CC)CCCCCCCC,C(#N)C=1[N-]C=CC1,C(C)[N+](CC)(CC)CCCCCCCC.C(#N)C=1[N-]C=CC1,1,298.1,2.93,305.51
C(C)[N+](CC)(CC)CCCCCCCC,C(#N)C=1[N-]C=CC1,C(C)[N+](CC)(CC)CCCCCCCC.C(#N)C=1[N-]C=CC1,1,333,1.94,305.51
C(C)[N+](CC)(CC)CCCCCCCC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+](CC)(CC)CCCCCCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,293,2.46,494.564
C(C)[N+](CC)(CC)CCCCCCCC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+](CC)(CC)CCCCCCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,298,2.38,494.564
C(C)[N+](CC)(CC)CCCCCCCC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+](CC)(CC)CCCCCCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,303,2.25,494.564
C(C)[N+](CC)(CC)CCCCCCCC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+](CC)(CC)CCCCCCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,308,2.13,494.564
C(C)[N+](CC)(CC)CCCCCCCC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+](CC)(CC)CCCCCCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,313,2.01,494.564
C(C)[N+](CC)(CC)CCCCCCCC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+](CC)(CC)CCCCCCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,318,1.91,494.564
C(C)[N+](CC)(CC)CCCCCCCC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+](CC)(CC)CCCCCCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,323,1.8,494.564
C(C)[N+](CC)(CC)CCCCCCCC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+](CC)(CC)CCCCCCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,328,1.71,494.564
C(C)[N+](CC)(CC)CCCCCCCC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+](CC)(CC)CCCCCCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,333,1.62,494.564
C(C)[N+](CC)(CC)CCCCCCCC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+](CC)(CC)CCCCCCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,338,1.54,494.564
C(C)[N+](CC)(CC)CCCCCCCC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+](CC)(CC)CCCCCCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,343,1.47,494.564
C(C)[N+](CC)(CC)CCCCCCCC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+](CC)(CC)CCCCCCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,348,1.39,494.564
C(C)[N+](CC)(CC)CCCCCCCC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+](CC)(CC)CCCCCCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,353,1.32,494.564
C(C)[N+](CC)(CC)CCCCCCCC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+](CC)(CC)CCCCCCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,358,1.26,494.564
C(C)[N+](CC)(CC)CCCCCCCC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+](CC)(CC)CCCCCCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,363,1.19,494.564
C(C)[N+](CC)(CC)CCCCCCCC,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+](CC)(CC)CCCCCCCC.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,368,1.13,494.564
C(C)[N+](CCOCCOCC)(CC)CC,C(#N)C=1[N-]C=CC1,C(C)[N+](CCOCCOCC)(CC)CC.C(#N)C=1[N-]C=CC1,1,298.1,2.2,309.454
C(C)[N+](CCOCCOCC)(CC)CC,C(#N)C=1[N-]C=CC1,C(C)[N+](CCOCCOCC)(CC)CC.C(#N)C=1[N-]C=CC1,1,333,1.4,309.454
C(C)[N+]1(CCCCC1)CCO,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,C(C)[N+]1(CCCCC1)CCO.FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F,1,303,2.11,438.412
C(C)[N+]1=CC(=CC=C1)C,C(C)OS(=O)(=O)[O-],C(C)[N+]1=CC(=CC=C1)C.C(C)OS(=O)(=O)[O-],1,298,2.21,247.316
C(C)[N+]1=CC(=CC=C1)C,C(C)OS(=O)(=O)[O-],C(C)[N+]1=CC(=CC=C1)C.C(C)OS(=O)(=O)[O-],1,303,2.09,247.316
C(C)[N+]1=CC(=CC=C1)C,C(C)OS(=O)(=O)[O-],C(C)[N+]1=CC(=CC=C1)C.C(C)OS(=O)(=O)[O-],1,308,1.99,247.316
C(C)[N+]1=CC(=CC=C1)C,C(C)OS(=O)(=O)[O-],C(C)[N+]1=CC(=CC=C1)C.C(C)OS(=O)(=O)[O-],1,313,1.89,247.316
C(C)[N+]1=CC(=CC=C1)C,C(C)OS(=O)(=O)[O-],C(C)[N+]1=CC(=CC=C1)C.C(C)OS(=O)(=O)[O-],1,318,1.79,247.316
C(C)[N+]1=CC(=CC=C1)C,C(C)OS(=O)(=O)[O-],C(C)[N+]1=CC(=CC=C1)C.C(C)OS(=O)(=O)[O-],1,323,1.7,247.316
C(C)[N+]1=CC(=CC=C1)C,C(C)OS(=O)(=O)[O-],C(C)[N+]1=CC(=CC=C1)C.C(C)OS(=O)(=O)[O-],1,328,1.63,247.316
C(C)[N+]1=CC(=CC=C1)C,C(C)OS(=O)(=O)[O-],C(C)[N+]1=CC(=CC=C1)C.C(C)OS(=O)(=O)[O-],1,333,1.55,247.316
C(C)[N+]1=CC(=CC=C1)C,C(C)OS(=O)(=O)[O-],C(C)[N+]1=CC(=CC=C1)C.C(C)OS(=O)(=O)[O-],1,338,1.48,247.316
C(C)[N+]1=CC(=CC=C1)C,C(C)OS(=O)(=O)[O-],C(C)[N+]1=CC(=CC=C1)C.C(C)OS(=O)(=O)[O-],1,343,1.41,247.316
C(C)[N+]1=CC(=CC=C1)C,COS(=O)(=O)[O-],C(C)[N+]1=CC(=CC=C1)C.COS(=O)(=O)[O-],1,298,2.66,233.289
C(C)[N+]1=CC(=CC=C1)C,COS(=O)(=O)[O-],C(C)[N+]1=CC(=CC=C1)C.COS(=O)(=O)[O-],1,303,2.51,233.289
C(C)[N+]1=CC(=CC=C1)C,COS(=O)(=O)[O-],C(C)[N+]1=CC(=CC=C1)C.COS(=O)(=O)[O-],1,308,2.37,233.289
C(C)[N+]1=CC(=CC=C1)C,COS(=O)(=O)[O-],C(C)[N+]1=CC(=CC=C1)C.COS(=O)(=O)[O-],1,313,2.24,233.289
C(C)[N+]1=CC(=CC=C1)C,COS(=O)(=O)[O-],C(C)[N+]1=CC(=CC=C1)C.COS(=O)(=O)[O-],1,318,2.11,233.289
C(C)[N+]1=CC(=CC=C1)C,COS(=O)(=O)[O-],C(C)[N+]1=CC(=CC=C1)C.COS(=O)(=O)[O-],1,323,2.01,233.289
C(C)[N+]1=CC(=CC=C1)C,COS(=O)(=O)[O-],C(C)[N+]1=CC(=CC=C1)C.COS(=O)(=O)[O-],1,328,1.9,233.289
C(C)[N+]1=CC(=CC=C1)C,COS(=O)(=O)[O-],C(C)[N+]1=CC(=CC=C1)C.COS(=O)(=O)[O-],1,333,1.81,233.289
C(C)[N+]1=CC(=CC=C1)C,COS(=O)(=O)[O-],C(C)[N+]1=CC(=CC=C1)C.COS(=O)(=O)[O-],1,338,1.72,233.289
C(C)[N+]1=CC(=CC=C1)C,COS(=O)(=O)[O-],C(C)[N+]1=CC(=CC=C1)C.COS(=O)(=O)[O-],1,343,1.64,233.289
C(C)[N+]1=CC(=CC=C1)C,FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F,C(C)[N+]1=CC(=CC=C1)C.FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F,1,283,2.76,421.281
C(C)[N+]1=CC(=CC=C1)C,FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F,C(C)[N+]1=CC(=CC=C1)C.FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F,1,288,2.6,421.281
C(C)[N+]1=CC(=CC=C1)C,FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F,C(C)[N+]1=CC(=CC=C1)C.FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F,1,293,2.44,421.281
C(C)[N+]1=CC(=CC=C1)C,FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F,C(C)[N+]1=CC(=CC=C1)C.FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F,1,298,2.3,421.281
C(C)[N+]1=CC(=CC=C1)C,FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F,C(C)[N+]1=CC(=CC=C1)C.FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F,1,303,2.18,421.281
C(C)[N+]1=CC(=CC=C1)C,FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F,C(C)[N+]1=CC(=CC=C1)C.FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F,1,308,2.06,421.281
C(C)[N+]1=CC(=CC=C1)C,FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F,C(C)[N+]1=CC(=CC=C1)C.FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F,1,313,1.95,421.281
C(C)[N+]1=CC(=CC=C1)C,FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F,C(C)[N+]1=CC(=CC=C1)C.FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F,1,318,1.85,421.281
C(C)[N+]1=CC(=CC=C1)C,FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F,C(C)[N+]1=CC(=CC=C1)C.FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F,1,323,1.75,421.281
